Input1,Input2,Output,MAE,MSE
0.000000,0.000000,1.000000,0.933111,0.870696
0.000000,1.000000,1.000000,0.009456,0.000179
1.000000,0.000000,1.000000,0.007058,0.000149
1.000000,1.000000,1.000000,0.248658,0.247324
0.000000,0.000000,1.000000,0.185514,0.172077
0.000000,1.000000,1.000000,0.003649,0.000080
1.000000,0.000000,1.000000,0.003484,0.000085
1.000000,1.000000,1.000000,0.124178,0.123362
0.000000,0.000000,1.000000,0.102349,0.094278
0.000000,1.000000,1.000000,0.002564,0.000066
1.000000,0.000000,1.000000,0.002581,0.000073
1.000000,1.000000,1.000000,0.082652,0.081976
0.000000,0.000000,1.000000,0.070276,0.064204
0.000000,1.000000,1.000000,0.002173,0.000066
1.000000,0.000000,1.000000,0.002231,0.000075
1.000000,1.000000,1.000000,0.061852,0.061211
0.000000,0.000000,1.000000,0.053212,0.048136
0.000000,1.000000,1.000000,0.002037,0.000075
1.000000,0.000000,1.000000,0.002107,0.000084
1.000000,1.000000,1.000000,0.049328,0.048666
0.000000,0.000000,1.000000,0.042558,0.038035
0.000000,1.000000,1.000000,0.002046,0.000092
1.000000,0.000000,1.000000,0.002118,0.000103
1.000000,1.000000,1.000000,0.040923,0.040192
0.000000,0.000000,1.000000,0.035212,0.030996
0.000000,1.000000,1.000000,0.002176,0.000123
1.000000,0.000000,1.000000,0.002242,0.000136
1.000000,1.000000,1.000000,0.034840,0.033987
0.000000,0.000000,1.000000,0.029769,0.025700
0.000000,1.000000,1.000000,0.002438,0.000178
1.000000,0.000000,1.000000,0.002487,0.000192
1.000000,1.000000,1.000000,0.030163,0.029113
0.000000,0.000000,1.000000,0.025493,0.021446
0.000000,1.000000,1.000000,0.002876,0.000281
1.000000,0.000000,1.000000,0.002886,0.000292
1.000000,1.000000,1.000000,0.026349,0.024993
0.000000,0.000000,1.000000,0.021942,0.017814
0.000000,1.000000,1.000000,0.003578,0.000487
1.000000,0.000000,1.000000,0.003492,0.000476
1.000000,1.000000,1.000000,0.023027,0.021210
0.000000,0.000000,1.000000,0.018837,0.014548
0.000000,1.000000,1.000000,0.004662,0.000913
1.000000,0.000000,1.000000,0.004349,0.000813
1.000000,1.000000,1.000000,0.019937,0.017489
0.000000,0.000000,1.000000,0.016029,0.011562
0.000000,1.000000,1.000000,0.006165,0.001748
1.000000,0.000000,1.000000,0.005395,0.001368
1.000000,1.000000,1.000000,0.016992,0.013859
0.000000,0.000000,1.000000,0.013566,0.009018
0.000000,1.000000,1.000000,0.007762,0.003012
1.000000,0.000000,1.000000,0.006381,0.002077
1.000000,1.000000,1.000000,0.014353,0.010713
0.000000,0.000000,1.000000,0.011618,0.007154
0.000000,1.000000,1.000000,0.008861,0.004240
1.000000,0.000000,1.000000,0.007054,0.002737
1.000000,1.000000,1.000000,0.012214,0.008355
0.000000,0.000000,1.000000,0.010208,0.005939
0.000000,1.000000,0.000000,0.009284,0.004999
1.000000,0.000000,1.000000,0.007346,0.003184
1.000000,1.000000,1.000000,0.010610,0.006755
0.000000,0.000000,1.000000,0.009202,0.005165
0.000000,1.000000,0.000000,0.009242,0.005296
1.000000,0.000000,1.000000,0.007339,0.003393
1.000000,1.000000,1.000000,0.009451,0.005717
0.000000,0.000000,1.000000,0.008459,0.004651
0.000000,1.000000,0.000000,0.008963,0.005302
1.000000,0.000000,1.000000,0.007154,0.003429
1.000000,1.000000,1.000000,0.008608,0.005039
0.000000,0.000000,1.000000,0.007880,0.004284
0.000000,1.000000,0.000000,0.008585,0.005159
1.000000,0.000000,1.000000,0.006883,0.003364
1.000000,1.000000,1.000000,0.007970,0.004574
0.000000,0.000000,1.000000,0.007406,0.004003
0.000000,1.000000,0.000000,0.008181,0.004952
1.000000,0.000000,1.000000,0.006584,0.003251
1.000000,1.000000,1.000000,0.007462,0.004232
0.000000,0.000000,1.000000,0.007002,0.003775
0.000000,1.000000,0.000000,0.007784,0.004726
1.000000,0.000000,1.000000,0.006285,0.003120
1.000000,1.000000,1.000000,0.007039,0.003963
0.000000,0.000000,1.000000,0.006649,0.003581
0.000000,1.000000,0.000000,0.007408,0.004500
1.000000,0.000000,1.000000,0.005999,0.002987
1.000000,1.000000,1.000000,0.006673,0.003740
0.000000,0.000000,1.000000,0.006335,0.003411
0.000000,1.000000,0.000000,0.007059,0.004285
1.000000,0.000000,1.000000,0.005731,0.002857
1.000000,1.000000,1.000000,0.006350,0.003548
0.000000,0.000000,1.000000,0.006051,0.003259
0.000000,1.000000,0.000000,0.006736,0.004084
1.000000,0.000000,1.000000,0.005482,0.002735
1.000000,1.000000,1.000000,0.006059,0.003378
0.000000,0.000000,1.000000,0.005794,0.003122
0.000000,1.000000,0.000000,0.006439,0.003897
1.000000,0.000000,1.000000,0.005253,0.002621
1.000000,1.000000,1.000000,0.005795,0.003224
0.000000,0.000000,1.000000,0.005558,0.002996
0.000000,1.000000,0.000000,0.006165,0.003725
1.000000,0.000000,1.000000,0.005041,0.002516
1.000000,1.000000,1.000000,0.005554,0.003085
0.000000,0.000000,1.000000,0.005341,0.002881
0.000000,1.000000,0.000000,0.005912,0.003565
1.000000,0.000000,1.000000,0.004845,0.002418
1.000000,1.000000,1.000000,0.005332,0.002957
0.000000,0.000000,1.000000,0.005141,0.002775
0.000000,1.000000,0.000000,0.005678,0.003417
1.000000,0.000000,1.000000,0.004663,0.002327
1.000000,1.000000,1.000000,0.005127,0.002839
0.000000,0.000000,1.000000,0.004956,0.002677
0.000000,1.000000,0.000000,0.005461,0.003281
1.000000,0.000000,1.000000,0.004495,0.002243
1.000000,1.000000,1.000000,0.004937,0.002730
0.000000,0.000000,1.000000,0.004783,0.002585
0.000000,1.000000,0.000000,0.005259,0.003153
1.000000,0.000000,1.000000,0.004338,0.002164
1.000000,1.000000,1.000000,0.004760,0.002628
0.000000,0.000000,1.000000,0.004623,0.002500
0.000000,1.000000,0.000000,0.005071,0.003035
1.000000,0.000000,1.000000,0.004191,0.002091
1.000000,1.000000,1.000000,0.004595,0.002533
0.000000,0.000000,1.000000,0.004473,0.002420
0.000000,1.000000,0.000000,0.004896,0.002924
1.000000,0.000000,1.000000,0.004054,0.002022
1.000000,1.000000,1.000000,0.004441,0.002445
0.000000,0.000000,1.000000,0.004332,0.002346
0.000000,1.000000,0.000000,0.004732,0.002821
1.000000,0.000000,1.000000,0.003926,0.001958
1.000000,1.000000,1.000000,0.004296,0.002362
0.000000,0.000000,1.000000,0.004200,0.002276
0.000000,1.000000,0.000000,0.004578,0.002724
1.000000,0.000000,1.000000,0.003806,0.001897
1.000000,1.000000,1.000000,0.004160,0.002285
0.000000,0.000000,1.000000,0.004076,0.002210
0.000000,1.000000,0.000000,0.004433,0.002633
1.000000,0.000000,1.000000,0.003693,0.001841
1.000000,1.000000,1.000000,0.004033,0.002212
0.000000,0.000000,1.000000,0.003959,0.002148
0.000000,1.000000,0.000000,0.004297,0.002548
1.000000,0.000000,1.000000,0.003586,0.001787
1.000000,1.000000,1.000000,0.003913,0.002143
0.000000,0.000000,1.000000,0.003849,0.002089
0.000000,1.000000,0.000000,0.004168,0.002467
1.000000,0.000000,1.000000,0.003485,0.001737
1.000000,1.000000,1.000000,0.003799,0.002078
0.000000,0.000000,1.000000,0.003745,0.002033
0.000000,1.000000,0.000000,0.004047,0.002391
1.000000,0.000000,1.000000,0.003390,0.001689
1.000000,1.000000,1.000000,0.003692,0.002017
0.000000,0.000000,1.000000,0.003646,0.001981
0.000000,1.000000,0.000000,0.003932,0.002320
1.000000,0.000000,1.000000,0.003300,0.001644
1.000000,1.000000,1.000000,0.003590,0.001959
0.000000,0.000000,1.000000,0.003552,0.001931
0.000000,1.000000,0.000000,0.003824,0.002252
1.000000,0.000000,1.000000,0.003214,0.001601
1.000000,1.000000,1.000000,0.003494,0.001905
0.000000,0.000000,1.000000,0.003463,0.001883
0.000000,1.000000,0.000000,0.003721,0.002187
1.000000,0.000000,1.000000,0.003133,0.001561
1.000000,1.000000,1.000000,0.003403,0.001853
0.000000,0.000000,1.000000,0.003379,0.001838
0.000000,1.000000,0.000000,0.003623,0.002126
1.000000,0.000000,1.000000,0.003056,0.001522
1.000000,1.000000,1.000000,0.003316,0.001803
0.000000,0.000000,1.000000,0.003299,0.001795
0.000000,1.000000,0.000000,0.003530,0.002068
1.000000,0.000000,1.000000,0.002982,0.001485
1.000000,1.000000,1.000000,0.003233,0.001756
0.000000,0.000000,1.000000,0.003222,0.001754
0.000000,1.000000,0.000000,0.003441,0.002013
1.000000,0.000000,1.000000,0.002912,0.001450
1.000000,1.000000,1.000000,0.003154,0.001711
0.000000,0.000000,1.000000,0.003149,0.001715
0.000000,1.000000,0.000000,0.003356,0.001960
1.000000,0.000000,1.000000,0.002845,0.001417
1.000000,1.000000,1.000000,0.003079,0.001669
0.000000,0.000000,1.000000,0.003079,0.001678
0.000000,1.000000,0.000000,0.003276,0.001910
1.000000,0.000000,1.000000,0.002782,0.001385
1.000000,1.000000,1.000000,0.003007,0.001628
0.000000,0.000000,1.000000,0.003012,0.001642
0.000000,1.000000,0.000000,0.003199,0.001862
1.000000,0.000000,1.000000,0.002721,0.001354
1.000000,1.000000,1.000000,0.002939,0.001589
0.000000,0.000000,1.000000,0.002948,0.001608
0.000000,1.000000,0.000000,0.003125,0.001817
1.000000,0.000000,1.000000,0.002662,0.001325
1.000000,1.000000,1.000000,0.002873,0.001552
0.000000,0.000000,1.000000,0.002886,0.001575
0.000000,1.000000,0.000000,0.003055,0.001773
1.000000,0.000000,1.000000,0.002606,0.001297
1.000000,1.000000,1.000000,0.002810,0.001516
0.000000,0.000000,1.000000,0.002828,0.001543
0.000000,1.000000,0.000000,0.002987,0.001731
1.000000,0.000000,1.000000,0.002553,0.001271
1.000000,1.000000,1.000000,0.002750,0.001482
0.000000,0.000000,1.000000,0.002771,0.001513
0.000000,1.000000,0.000000,0.002922,0.001691
1.000000,0.000000,1.000000,0.002501,0.001245
1.000000,1.000000,1.000000,0.002692,0.001450
0.000000,0.000000,1.000000,0.002717,0.001484
0.000000,1.000000,0.000000,0.002860,0.001653
1.000000,0.000000,1.000000,0.002452,0.001220
1.000000,1.000000,1.000000,0.002637,0.001418
0.000000,0.000000,1.000000,0.002665,0.001456
0.000000,1.000000,0.000000,0.002801,0.001616
1.000000,0.000000,1.000000,0.002404,0.001196
1.000000,1.000000,1.000000,0.002583,0.001388
0.000000,0.000000,1.000000,0.002614,0.001429
0.000000,1.000000,0.000000,0.002743,0.001580
1.000000,0.000000,1.000000,0.002358,0.001174
1.000000,1.000000,1.000000,0.002532,0.001359
0.000000,0.000000,1.000000,0.002566,0.001403
0.000000,1.000000,0.000000,0.002688,0.001547
1.000000,0.000000,1.000000,0.002314,0.001152
1.000000,1.000000,1.000000,0.002483,0.001331
0.000000,0.000000,1.000000,0.002520,0.001378
0.000000,1.000000,0.000000,0.002635,0.001514
1.000000,0.000000,1.000000,0.002272,0.001130
1.000000,1.000000,1.000000,0.002435,0.001305
0.000000,0.000000,1.000000,0.002475,0.001353
0.000000,1.000000,0.000000,0.002584,0.001482
1.000000,0.000000,1.000000,0.002231,0.001110
1.000000,1.000000,1.000000,0.002390,0.001279
0.000000,0.000000,1.000000,0.002431,0.001330
0.000000,1.000000,0.000000,0.002535,0.001452
1.000000,0.000000,1.000000,0.002192,0.001090
1.000000,1.000000,1.000000,0.002345,0.001254
0.000000,0.000000,1.000000,0.002389,0.001307
0.000000,1.000000,0.000000,0.002487,0.001423
1.000000,0.000000,1.000000,0.002154,0.001071
1.000000,1.000000,1.000000,0.002303,0.001230
0.000000,0.000000,1.000000,0.002349,0.001286
0.000000,1.000000,0.000000,0.002442,0.001395
1.000000,0.000000,1.000000,0.002117,0.001053
1.000000,1.000000,1.000000,0.002262,0.001207
0.000000,0.000000,1.000000,0.002310,0.001264
0.000000,1.000000,0.000000,0.002397,0.001368
1.000000,0.000000,1.000000,0.002081,0.001035
1.000000,1.000000,1.000000,0.002222,0.001185
0.000000,0.000000,1.000000,0.002272,0.001244
0.000000,1.000000,0.000000,0.002355,0.001342
1.000000,0.000000,1.000000,0.002047,0.001018
1.000000,1.000000,1.000000,0.002184,0.001163
0.000000,0.000000,1.000000,0.002235,0.001224
0.000000,1.000000,0.000000,0.002313,0.001316
1.000000,0.000000,1.000000,0.002014,0.001002
